Index,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Finger1,Finger2,Finger3,Finger4,Finger5,Iteration,Gesture
0,3.06,0.1,8.37,-0.03,-0.06,0.01,632.0,630.0,645.0,654.0,601.0,1,4
1,3.22,0.17,8.36,-0.02,-0.08,0.04,632.0,630.0,645.0,653.0,602.0,1,4
2,3.42,0.08,8.28,-0.03,-0.04,-0.01,633.0,630.0,645.0,653.0,602.0,1,4
3,3.09,0.15,8.34,-0.03,-0.02,-0.01,632.0,629.0,645.0,653.0,602.0,1,4
4,3.28,0.11,8.33,-0.03,-0.04,0.02,632.0,630.0,645.0,653.0,602.0,1,4
5,3.27,0.13,8.3,-0.02,0.02,0.01,632.0,629.0,645.0,653.0,601.0,1,4
6,3.12,0.13,8.38,-0.03,0.0,-0.01,632.0,629.0,645.0,653.0,602.0,1,4
7,3.21,0.14,8.36,-0.03,0.05,-0.0,632.0,629.0,644.0,653.0,602.0,1,4
8,3.32,0.09,8.37,-0.03,-0.01,-0.0,633.0,630.0,645.0,653.0,602.0,1,4
9,3.05,0.17,8.39,-0.02,-0.02,0.01,633.0,629.0,645.0,654.0,602.0,1,4
10,3.08,0.16,8.38,-0.02,0.0,0.02,633.0,630.0,645.0,653.0,601.0,1,4
11,3.2,0.14,8.29,-0.03,-0.0,0.01,633.0,630.0,645.0,654.0,601.0,1,4
12,3.1,0.11,8.34,-0.03,-0.02,-0.0,633.0,630.0,645.0,653.0,602.0,1,4
13,3.0,0.17,8.37,-0.03,0.01,0.0,632.0,630.0,645.0,653.0,602.0,1,4
14,3.06,0.07,8.42,-0.03,-0.01,0.01,631.0,629.0,645.0,653.0,602.0,1,4
15,3.14,0.11,8.27,-0.03,0.02,-0.0,632.0,630.0,645.0,653.0,601.0,1,4
16,3.15,0.11,8.43,-0.03,-0.02,-0.01,632.0,629.0,645.0,653.0,603.0,1,4
17,2.92,0.2,8.39,-0.04,0.02,-0.0,633.0,630.0,645.0,653.0,602.0,1,4
18,3.12,0.08,8.35,-0.05,-0.01,-0.02,633.0,629.0,645.0,653.0,602.0,1,4
19,2.91,0.11,8.44,-0.04,0.0,0.0,633.0,630.0,645.0,653.0,602.0,1,4
20,3.14,0.13,8.42,-0.02,-0.03,0.02,633.0,629.0,645.0,653.0,602.0,1,4
21,3.02,0.08,8.44,-0.02,-0.02,0.02,632.0,630.0,645.0,653.0,602.0,1,4
22,3.01,0.11,8.29,-0.01,-0.03,0.03,632.0,630.0,645.0,653.0,602.0,1,4
23,3.27,0.13,8.27,-0.02,-0.03,0.02,632.0,630.0,645.0,653.0,601.0,1,4
