Index,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Finger1,Finger2,Finger3,Finger4,Finger5,Iteration,Gesture
0,9.35,-3.07,1.13,-0.17,0.0,0.04,530.0,560.0,511.0,555.0,531.0,1,2
1,8.97,-3.0,1.28,-0.54,0.01,0.18,530.0,560.0,511.0,553.0,527.0,1,2
2,9.1,-3.64,0.99,-0.46,0.09,0.17,531.0,562.0,511.0,550.0,524.0,1,2
3,9.36,-3.56,1.62,-0.37,0.11,0.08,531.0,565.0,512.0,551.0,524.0,1,2
4,8.96,-3.54,2.12,-0.21,0.66,0.23,532.0,564.0,513.0,551.0,524.0,1,2
5,7.89,-3.28,3.07,-0.12,0.22,-0.19,531.0,565.0,512.0,549.0,525.0,1,2
6,10.53,-2.45,1.52,0.01,0.48,0.03,529.0,564.0,511.0,549.0,526.0,1,2
7,8.87,-3.74,1.88,-0.03,0.1,-0.16,528.0,563.0,508.0,549.0,526.0,1,2
8,8.69,-4.96,1.11,-0.01,0.11,-0.2,529.0,561.0,507.0,547.0,527.0,1,2
9,6.26,-5.79,0.0,-0.19,-0.25,-0.27,531.0,560.0,507.0,548.0,528.0,1,2
10,7.14,-5.91,1.08,0.04,0.22,0.05,531.0,560.0,506.0,547.0,528.0,1,2
11,7.79,-6.76,0.43,-0.34,-0.22,-0.19,534.0,559.0,506.0,548.0,529.0,1,2
12,7.65,-5.3,0.06,0.09,0.02,0.05,534.0,559.0,506.0,548.0,530.0,1,2
13,11.62,-2.41,3.82,0.13,-0.12,0.06,535.0,560.0,507.0,549.0,531.0,1,2
14,10.07,2.83,6.32,0.15,-0.07,0.06,534.0,559.0,508.0,548.0,531.0,1,2
15,13.09,-0.45,3.31,-0.16,-0.05,-0.22,525.0,561.0,509.0,550.0,532.0,1,2
16,10.97,-0.11,2.56,0.01,0.41,0.07,525.0,561.0,509.0,550.0,533.0,1,2
17,9.2,-3.38,2.75,-0.22,-0.11,-0.33,524.0,561.0,509.0,551.0,534.0,1,2
18,8.2,-6.16,0.95,-0.35,-0.3,-0.48,525.0,561.0,509.0,551.0,534.0,1,2
19,7.01,-9.51,-1.18,-0.06,0.1,-0.11,525.0,562.0,509.0,551.0,534.0,1,2
20,6.35,-7.26,0.53,0.17,0.05,0.15,523.0,562.0,510.0,551.0,533.0,1,2
21,9.07,-5.55,1.0,-0.24,-0.45,-0.06,524.0,562.0,509.0,552.0,534.0,1,2
22,8.77,-2.9,0.61,0.09,0.08,0.27,525.0,562.0,510.0,551.0,535.0,1,2
23,10.56,-0.41,3.99,0.17,0.3,0.24,524.0,562.0,511.0,551.0,534.0,1,2
24,10.5,2.48,4.31,0.02,-0.0,-0.01,524.0,562.0,511.0,551.0,535.0,1,2
25,9.98,0.39,3.11,0.05,0.13,-0.01,525.0,562.0,511.0,552.0,536.0,1,2
26,9.19,-1.9,2.82,-0.16,0.04,-0.1,526.0,562.0,511.0,552.0,536.0,1,2
27,9.5,-4.65,1.69,-0.26,-0.09,-0.33,525.0,563.0,511.0,552.0,536.0,1,2
28,8.17,-7.47,0.02,-0.19,-0.01,-0.23,527.0,563.0,511.0,553.0,536.0,1,2
29,10.03,-6.43,1.61,-0.09,-0.06,0.04,525.0,563.0,511.0,552.0,536.0,1,2
30,6.51,-5.46,0.62,-0.03,-0.05,0.07,525.0,563.0,512.0,553.0,536.0,1,2
31,10.76,-4.32,1.7,-0.01,-0.1,0.17,525.0,563.0,511.0,553.0,536.0,1,2
32,9.02,-1.59,3.2,0.08,-0.03,0.12,524.0,563.0,512.0,553.0,537.0,1,2
33,11.86,2.32,4.47,0.14,0.07,0.05,526.0,563.0,513.0,553.0,537.0,1,2
34,10.61,-0.17,3.9,-0.2,-0.12,-0.07,526.0,563.0,512.0,553.0,537.0,1,2
35,9.6,-0.23,2.28,-0.12,-0.02,-0.15,526.0,563.0,513.0,554.0,537.0,1,2
36,9.58,-3.34,2.33,-0.07,0.17,-0.14,527.0,563.0,512.0,553.0,537.0,1,2
37,8.1,-6.3,0.64,-0.22,-0.14,-0.35,527.0,563.0,513.0,553.0,538.0,1,2
38,7.1,-8.79,-0.51,-0.14,-0.07,-0.07,527.0,564.0,513.0,554.0,538.0,1,2
39,6.37,-6.13,0.71,0.16,0.09,0.17,526.0,563.0,513.0,553.0,537.0,1,2
40,9.08,-5.77,1.68,0.0,-0.21,0.14,527.0,563.0,513.0,553.0,537.0,1,2
41,9.66,-2.53,2.34,0.19,0.16,0.27,527.0,564.0,513.0,554.0,538.0,1,2
42,10.78,2.57,3.82,0.22,0.24,0.17,527.0,564.0,513.0,554.0,538.0,1,2
43,8.26,0.26,3.65,0.06,0.12,0.05,527.0,563.0,514.0,554.0,539.0,1,2
44,10.81,-0.43,3.09,-0.13,-0.09,-0.14,529.0,564.0,513.0,555.0,539.0,1,2
45,9.54,-2.02,2.47,-0.07,0.06,-0.12,526.0,564.0,513.0,555.0,539.0,1,2
46,7.97,-4.49,2.08,-0.19,-0.16,-0.33,527.0,564.0,514.0,555.0,539.0,1,2
47,7.91,-7.86,0.13,-0.14,-0.13,-0.26,527.0,563.0,514.0,555.0,539.0,1,2
48,9.35,-6.12,1.22,0.07,0.1,0.03,526.0,564.0,514.0,554.0,538.0,1,2
49,6.2,-4.43,0.67,0.08,-0.12,0.1,524.0,564.0,515.0,555.0,538.0,1,2
50,10.78,-3.16,1.12,0.0,0.16,0.37,527.0,564.0,515.0,555.0,539.0,1,2
51,9.37,-1.07,3.7,0.07,-0.05,0.18,526.0,564.0,515.0,555.0,539.0,1,2
52,10.83,2.39,4.7,-0.06,-0.07,-0.01,527.0,564.0,515.0,555.0,538.0,1,2
53,10.09,0.73,3.19,-0.15,0.02,-0.04,527.0,565.0,516.0,556.0,541.0,1,2
54,9.38,-1.53,2.36,-0.23,-0.11,-0.18,528.0,565.0,517.0,556.0,540.0,1,2
55,9.16,-3.39,1.54,-0.21,-0.07,-0.2,528.0,565.0,516.0,556.0,540.0,1,2
56,8.6,-7.0,0.86,-0.21,-0.15,-0.27,529.0,565.0,516.0,557.0,540.0,1,2
57,10.58,-7.93,1.41,-0.17,0.02,0.07,527.0,565.0,515.0,556.0,540.0,1,2
58,5.69,-5.11,-0.73,0.38,-0.03,0.17,527.0,565.0,516.0,557.0,540.0,1,2
59,9.26,-2.91,1.78,-0.1,0.14,0.44,528.0,565.0,516.0,556.0,540.0,1,2
60,11.39,-0.7,4.06,0.05,0.04,0.25,529.0,565.0,516.0,556.0,541.0,1,2
61,7.87,-0.34,3.98,0.13,-0.02,-0.18,529.0,565.0,516.0,557.0,541.0,1,2
62,11.61,-0.42,3.27,-0.17,-0.19,-0.15,529.0,566.0,517.0,557.0,542.0,1,2
63,9.56,-2.11,2.05,-0.11,-0.07,-0.23,530.0,565.0,517.0,557.0,541.0,1,2
64,8.26,-5.38,1.21,-0.21,-0.18,-0.34,530.0,565.0,516.0,557.0,542.0,1,2
65,7.79,-8.21,-0.42,-0.19,-0.21,-0.18,530.0,566.0,517.0,558.0,541.0,1,2
66,7.18,-6.64,0.61,0.31,0.16,0.16,530.0,565.0,517.0,557.0,541.0,1,2
67,7.41,-4.53,1.58,0.07,-0.14,0.18,529.0,565.0,518.0,557.0,541.0,1,2
68,10.72,-2.63,1.78,-0.07,-0.25,0.06,529.0,565.0,517.0,558.0,541.0,1,2
69,10.28,1.57,2.99,0.07,0.08,0.17,530.0,565.0,517.0,558.0,542.0,1,2
70,9.04,1.02,3.82,0.05,0.02,0.06,529.0,566.0,518.0,557.0,542.0,1,2
71,10.35,-0.93,2.87,-0.23,-0.25,-0.19,530.0,566.0,518.0,558.0,542.0,1,2
72,9.06,-2.59,1.19,-0.21,-0.06,-0.2,530.0,566.0,518.0,559.0,542.0,1,2
73,8.2,-6.01,0.63,-0.19,0.09,-0.14,530.0,566.0,518.0,558.0,543.0,1,2
74,7.41,-8.82,0.28,-0.02,0.12,0.12,530.0,567.0,518.0,558.0,542.0,1,2
75,6.46,-5.5,0.39,-0.01,-0.07,0.16,529.0,566.0,518.0,558.0,541.0,1,2
76,10.31,-4.0,2.14,-0.03,0.02,0.37,530.0,567.0,519.0,559.0,541.0,1,2
77,9.97,-1.1,3.14,-0.02,-0.31,0.02,530.0,566.0,519.0,558.0,541.0,1,2
78,10.79,2.43,3.7,-0.11,-0.21,-0.06,529.0,567.0,519.0,558.0,542.0,1,2
79,9.46,0.41,2.27,-0.05,0.21,0.02,531.0,568.0,519.0,559.0,542.0,1,2
80,8.83,-1.98,1.7,-0.18,-0.16,-0.21,531.0,568.0,519.0,559.0,543.0,1,2
81,9.16,-5.35,0.6,-0.05,0.32,0.1,531.0,568.0,520.0,559.0,543.0,1,2
82,7.4,-9.29,0.41,-0.07,0.01,0.02,530.0,568.0,519.0,559.0,542.0,1,2
83,7.12,-6.57,0.65,0.11,0.06,0.19,531.0,568.0,520.0,559.0,541.0,1,2
84,8.83,-3.78,1.67,0.24,-0.41,-0.16,529.0,567.0,520.0,558.0,540.0,1,2
85,11.12,0.95,3.37,-0.05,-0.17,0.26,532.0,568.0,520.0,559.0,541.0,1,2
86,7.88,0.59,3.01,0.52,0.11,-0.25,531.0,569.0,520.0,560.0,542.0,1,2
87,10.26,-1.43,2.81,0.03,-0.06,-0.17,531.0,568.0,521.0,559.0,543.0,1,2
88,10.22,-3.98,0.98,0.05,-0.24,-0.39,531.0,568.0,521.0,560.0,543.0,1,2
