Index,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Finger1,Finger2,Finger3,Finger4,Finger5,Iteration,Gesture
0,-3.56,7.4,3.86,-0.01,-0.02,0.01,640.0,581.0,568.0,578.0,529.0,1,3
1,-3.56,7.4,3.78,0.0,-0.09,0.01,639.0,580.0,569.0,578.0,528.0,1,3
2,-3.74,7.46,4.07,0.01,-0.12,0.02,639.0,582.0,569.0,578.0,529.0,1,3
3,-3.31,7.33,4.1,-0.09,-0.01,0.09,639.0,582.0,570.0,578.0,528.0,1,3
4,-2.99,7.62,3.97,-0.15,0.08,0.13,639.0,581.0,569.0,578.0,528.0,1,3
5,-2.81,7.63,3.91,-0.35,0.44,0.23,639.0,583.0,570.0,579.0,529.0,1,3
6,-2.78,7.49,3.89,-0.36,0.85,0.28,638.0,588.0,572.0,580.0,528.0,1,3
7,-4.86,7.6,4.06,-0.44,0.94,0.32,638.0,603.0,575.0,580.0,527.0,1,3
8,-3.86,6.7,4.29,-0.6,0.61,0.29,638.0,614.0,578.0,581.0,527.0,1,3
9,-3.63,6.99,4.05,-0.65,0.59,0.27,639.0,615.0,578.0,581.0,527.0,1,3
10,-3.32,6.96,4.7,-0.36,0.81,0.32,640.0,607.0,577.0,584.0,529.0,1,3
11,-4.74,6.07,5.53,-0.46,1.16,0.4,643.0,600.0,577.0,594.0,535.0,1,3
12,-5.62,6.34,3.61,-0.19,0.35,0.22,642.0,595.0,578.0,601.0,537.0,1,3
13,-5.78,6.85,3.46,0.59,-1.3,-0.27,641.0,595.0,581.0,607.0,536.0,1,3
14,-6.32,6.27,2.86,1.0,-5.01,-1.22,619.0,580.0,570.0,592.0,523.0,1,3
15,-1.68,7.51,4.19,1.02,-5.36,-1.69,574.0,566.0,557.0,577.0,514.0,1,3
16,0.15,7.81,4.61,1.36,-3.59,-1.6,557.0,566.0,559.0,573.0,504.0,1,3
17,1.06,9.29,3.86,1.05,-1.6,-0.65,564.0,578.0,571.0,575.0,505.0,1,3
18,0.27,9.51,4.98,0.14,1.12,-0.15,580.0,621.0,619.0,595.0,533.0,1,3
19,-1.54,6.86,2.89,0.13,1.64,0.33,582.0,640.0,657.0,626.0,545.0,1,3
20,-1.51,8.79,3.95,-1.03,1.88,0.65,577.0,642.0,665.0,637.0,556.0,1,3
21,-2.16,7.62,3.7,-1.23,1.51,0.85,591.0,640.0,651.0,635.0,561.0,1,3
22,-3.66,6.47,5.06,-1.31,2.58,0.68,606.0,625.0,619.0,624.0,562.0,1,3
23,-3.99,7.51,4.35,-1.2,1.93,0.56,623.0,611.0,600.0,614.0,547.0,1,3
24,-3.4,6.94,3.64,-0.6,0.81,0.41,632.0,604.0,593.0,616.0,547.0,1,3
25,-4.43,6.45,5.48,-0.48,0.97,0.49,637.0,604.0,595.0,616.0,550.0,1,3
26,-4.5,6.12,5.43,-0.66,0.97,0.54,638.0,601.0,593.0,618.0,550.0,1,3
27,-4.45,6.54,4.47,0.05,-0.53,0.02,639.0,595.0,592.0,615.0,550.0,1,3
28,-4.46,6.82,4.77,0.58,-1.55,-0.42,637.0,587.0,585.0,612.0,549.0,1,3
29,-3.87,6.3,4.88,0.49,-2.23,-0.53,625.0,579.0,575.0,598.0,541.0,1,3
30,-2.6,6.69,5.49,0.62,-2.6,-0.89,613.0,573.0,563.0,583.0,534.0,1,3
31,-0.74,7.14,4.44,0.25,-2.44,-0.71,586.0,570.0,558.0,568.0,511.0,1,3
32,-1.46,7.04,4.62,1.16,-3.33,-1.22,587.0,568.0,560.0,563.0,493.0,1,3
33,0.38,7.75,4.82,0.39,-2.24,-0.88,580.0,571.0,563.0,559.0,488.0,1,3
34,2.94,9.07,4.8,0.33,-0.32,-0.23,585.0,585.0,573.0,562.0,489.0,1,3
35,3.37,8.43,4.35,0.74,0.66,0.01,599.0,601.0,588.0,571.0,502.0,1,3
36,0.77,8.07,3.56,0.11,2.54,0.3,616.0,622.0,611.0,584.0,530.0,1,3
37,-1.55,7.88,2.88,-0.23,2.58,0.32,604.0,634.0,624.0,591.0,542.0,1,3
38,-2.0,7.47,4.04,-0.97,3.43,0.44,600.0,635.0,623.0,592.0,551.0,1,3
39,-3.71,7.42,3.72,-1.14,2.66,0.75,615.0,621.0,612.0,602.0,555.0,1,3
40,-3.28,6.95,3.58,-1.11,2.35,0.71,627.0,604.0,602.0,615.0,555.0,1,3
41,-4.85,7.39,3.79,-1.0,2.05,0.76,632.0,604.0,602.0,618.0,557.0,1,3
42,-4.44,7.53,3.82,-0.3,0.97,0.66,634.0,607.0,605.0,624.0,555.0,1,3
43,-4.37,6.84,4.81,0.08,-0.33,0.35,635.0,605.0,601.0,624.0,547.0,1,3
44,-6.28,6.77,4.76,0.48,-0.95,-0.33,637.0,602.0,594.0,618.0,544.0,1,3
45,-4.13,7.28,3.95,0.27,-1.76,-0.3,637.0,596.0,589.0,609.0,541.0,1,3
46,-0.0,7.79,2.43,0.23,-2.65,-0.46,632.0,590.0,580.0,596.0,536.0,1,3
